,White,black_or_African_American,American_Indian_or_Alaska_Native,Asian
White,0.9733662822624931,0.9609344337510572,0.9545454545454545,0.9527439024390244
black_or_African_American,0.9289767526999817,0.9505482280363293,0.9363636363636363,0.9253048780487805
American_Indian_or_Alaska_Native,0.8541552260662639,0.8732414414514016,0.8999999999999999,0.8125
Asian,0.8977667948013912,0.8898568830465282,0.8818181818181818,0.9314024390243902
