,White,black_or_African_American,American_Indian_or_Alaska_Native,Asian
White,0.9967971277438286,0.9937076597345111,0.9953600464576075,0.9935665853243979
black_or_African_American,0.9783056367691827,0.9901140095639904,0.9785423925667829,0.9745162259615384
American_Indian_or_Alaska_Native,0.936702394105635,0.9416063662227878,0.9657215447154471,0.9281188082750582
Asian,0.9665499338217405,0.96640818080645,0.9635815911730546,0.9795979628010878
